fund,report_title,date,year,amount_usd,n_grantees,last_included_donation_date,source
LTFF,May 2023 to March 2024: Long-Term Future Fund grant recommendations,2024-04-01,2024,5363105,141,2024-04-01,https://forum.effectivealtruism.org/posts/pJyCWzevPHsycj4oQ/long-term-future-fund-may-2023-to-march-2024-payout
LTFF,April 2023: Long-Term Future Fund grant recommendations,2023-04-01,2023,12600000,327,2023-04-01,https://forum.effectivealtruism.org/posts/zZ2vq7YEckpunrQS4/long-term-future-fund-april-2023-grant-recommendations
LTFF,December 2021: Long-Term Future Fund Grants,2021-12-31,2021,2123577,34,2021-12-01,https://forum.effectivealtruism.org/posts/ddBLtdQjcjvZH5JvF/long-term-future-fund-december-2021-grant-recommendations
LTFF,July 2021: Long-Term Future Fund Grants,2021-10-02,2021,982469,18,2021-05-31,https://forum.effectivealtruism.org/posts/HYKDh2mLjapsgj9nB/long-term-future-fund-july-2021-grant-recommendations
LTFF,May 2021: Long-Term Future Fund Grants,2021-04-02,2021,1650795,,2021-04-02,https://forum.effectivealtruism.org/posts/diZWNmLRgcbuwmYn4/long-term-future-fund-may-2021-grant-recommendations
LTFF,November 2020: Long-Term Future Fund Grants,2020-11-29,2020,505000,,2020-10-02,https://funds.effectivealtruism.org/funds/far-future
LTFF,September 2020: Long-Term Future Fund Grants,2020-09-04,2020,394200,,2020-09-04,https://forum.effectivealtruism.org/posts/dgy6m8TGhv4FCn4rx/long-term-future-fund-september-2020-grants
LTFF,April 2020: Long-Term Future Fund Grants and Recommendations,2020-04-15,2020,488350,,2020-04-15,https://funds.effectivealtruism.org/funds/far-future
LTFF,November 2019: Long-Term Future Fund Grants,2019-11-22,2019,466000,,2019-11-22,https://funds.effectivealtruism.org/funds/far-future
LTFF,August 2019: Long-Term Future Fund Grants and Recommendations,2019-08-31,2019,415697,,2019-08-31,https://funds.effectivealtruism.org/funds/far-future
LTFF,April 2019: Long-Term Future Fund Grants and Recommendations,2019-03-21,2019,875150,,2019-03-21,https://funds.effectivealtruism.org/funds/far-future
LTFF,November 2018: Long-Term Future Fund Grants,2018-11-30,2018,95500,,2018-11-30,https://funds.effectivealtruism.org/funds/far-future
LTFF,July 2018: Long-Term Future Fund Grants,2018-08-15,2018,917000,,2018-08-15,https://funds.effectivealtruism.org/funds/far-future
LTFF,March 2017: Berkeley Existential Risk Initiative (BERI),2017-03-21,2017,14838,,2017-03-21,https://funds.effectivealtruism.org/funds/far-future
