source_url,n_rows,years,types,link_status,quote,verdict
https://timelines.issarice.com/wiki/Timeline_of_AI_safety,66,"2005,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020",timeline,pending,,pending
https://donations.vipulnaik.com/donor.php?donor=Open+Philanthropy&cause_area_filter=AI+safety,24,"2015,2016,2017,2018,2019,2020,2021,2022,2023",vipulnaik,pending,,pending
https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,14,2022,wayback,pending,,pending
https://donations.vipulnaik.com/donor.php?donor=Long-Term+Future+Fund&cause_area_filter=AI+safety,13,"2017,2018,2019,2020,2021,2022,2023",vipulnaik,pending,,pending
https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,12,2021,larks,pending,,pending
https://web.archive.org/web/20161230171926id_/http://futureoflife.org/ai-safety-research/,8,2015,wayback,pending,,pending
https://web.archive.org/web/20191224085054id_/https://futureoflife.org/2018-ai-grant-recipients,6,2018,wayback,pending,,pending
https://survivalandflourishing.fund/,4,"2020,2021,2022,2023",sff,pending,,pending
https://aiimpacts.org/changes-in-funding-in-the-ai-safety-field/,3,"2014,2015,2016",funding_analysis,pending,,pending
https://fortune.com/2022/11/15/sam-bankman-fried-ftx-collapse-a-i-safety-research-effective-altruism-debacle/,2,2022,news,pending,,pending
https://metr.org/,2,"2023,2024",org,pending,,pending
https://www.matsprogram.org/,2,2021,program,pending,,pending
https://www.lesswrong.com/posts/WGpFFJo2uFe5ssgEb/an-overview-of-the-ai-safety-funding-situation,1,2019,lw,pending,,pending
https://www.longtermwiki.com/organizations/redwood-research,1,2021,longtermwiki,pending,,pending
https://www.nist.gov/aisi,1,2024,gov,pending,,pending
https://web.archive.org/web/20240101083941id_/https://www.fhi.ox.ac.uk/,1,2023,wayback,pending,,pending
https://www.aisi.gov.uk/,1,2025,gov,pending,,pending
https://www.anthropic.com/news/anthropics-responsible-scaling-policy,1,2023,anthropic,pending,,pending
https://www.apolloresearch.ai/,1,2023,org,pending,,pending
https://www.cnbc.com/2024/05/17/openai-superalignment-sutskever-leike.html,1,2024,news,pending,,pending
https://www.arena.education/,1,2023,program,pending,,pending
https://www.lesswrong.com/posts/SfXEj4u32sWyHTCfL/updating-the-name-of-open-philanthropy-s-ai-program,1,2024,lw,pending,,pending
https://www.conjecture.dev/,1,2022,org,pending,,pending
https://www.longtermwiki.com/organizations/arc-evals,1,2022,longtermwiki,pending,,pending
https://www.gov.uk/government/publications/ai-safety-institute-overview,1,2023,gov,pending,,pending
https://www.governance.ai/,1,2018,org,pending,,pending
https://www.longtermwiki.com/funding-programs/ftx-future-fund-general-grants,1,2022,longtermwiki,pending,,pending
https://www.futureofhumanityinstitute.org/,1,2024,org,pending,,pending
https://transformer-circuits.pub/2022/toy_model/index.html,1,2022,anthropic,pending,,pending
https://web.archive.org/web/20180129155830id_/https://www.openphilanthropy.org/focus/global-catastrophic-risks/potential-risks-advanced-artificial-intelligence,1,2016,wayback,pending,,pending
https://transformer-circuits.pub/2023/monosemantic-features,1,2023,anthropic,pending,,pending
https://arxiv.org/abs/1706.03741,1,2017,arxiv,pending,,pending
https://arxiv.org/abs/2312.09390,1,2023,arxiv,pending,,pending
https://arxiv.org/abs/2401.05566,1,2024,arxiv,pending,,pending
https://bluedot.org/,1,2022,program,pending,,pending
https://constellation.org/programs/astra,1,2023,org,pending,,pending
https://distill.pub/2020/circuits/zoom-in/,1,2020,distill,pending,,pending
https://donations.vipulnaik.com/donor.php?donor=Survival+and+Flourishing+Fund,1,2019,vipulnaik,pending,,pending
https://en.wikipedia.org/wiki/Alignment_Research_Center,1,2021,wikipedia,pending,,pending
https://en.wikipedia.org/wiki/Anthropic,1,2020,wikipedia,pending,,pending
https://en.wikipedia.org/wiki/Center_for_AI_Safety,1,2022,wikipedia,pending,,pending
https://far.ai/,1,2022,org,pending,,pending
https://openai.com/index/introducing-superalignment/,1,2023,openai,pending,,pending
https://pibbss.ai/,1,2022,program,pending,,pending
https://safe.ai/work/press-release-ai-risk,1,2023,cais,pending,,pending
https://timaeus.co/blog/updates/2023-10-22-timaeus,1,2023,timaeus,pending,,pending
https://transformer-circuits.pub/,1,2021,anthropic,pending,,pending
https://arxiv.org/abs/1606.06565,1,2016,arxiv,pending,,pending
https://www.openphilanthropy.org/request-for-proposals-technical-ai-safety-research/,1,2024,openphil,pending,,pending
https://forum.effectivealtruism.org/posts/XdhwXppfqrpPL2YDX/an-overview-of-the-ai-safety-funding-situation,1,2024,forum,ok,"LTFF plans ~$8M in 2024, ~2/3 AI safety",verified_estimate
https://futureoflife.org/grantmaking/fli-announces-grants-program-for-existential-risk-reduction/,1,2021,org,ok,"$25M multi-year grants program",verified
https://www.schmidtsciences.org/new-10-million-ai-safety-science-program-launched-for-foundational-research/,1,2025,org,ok,"$10M to 27 projects (up to $500k)",verified
https://manifund.substack.com/p/manifund-2023-in-review,1,2023,org,ok,"$1.57M to 27 technical AI-safety projects",verified
https://forum.effectivealtruism.org/posts/onFtsHPEpFNXxq9CN/manifund-q1-retro-learnings-from-impact-certs,1,2024,forum,ok,"~$1.6M AI Safety Regranting pool",verified
https://www.longtermwiki.com/wiki/E547,1,2025,wiki,ok,"$2.25M for 10 regrantors",verified
https://www.longview.org/careers/ai-grantmaker-generalist-or-us-ai-policy/,1,2025,org,ok,"private Frontier AI Fund ~$9M since ~Dec 2024",verified
https://impact.founderspledge.com/2024/reducing-global-risks,1,2024,org,ok,"CEIP $300k + CNAS $156,770",verified
https://www.founderspledge.com/funds/global-catastrophic-risks-fund,1,2025,org,ok,"CNAS $250k + Tarbell $100k",verified
https://www.gov.uk/government/news/initial-100-million-for-expert-taskforce-to-help-uk-build-and-adopt-next-generation-of-safe-ai,1,2023,gov,ok,"£100M for Frontier AI Taskforce",verified
https://www.gov.uk/government/news/openai-and-microsoft-join-uks-international-coalition-to-safeguard-ai-development,1,2025,gov,ok,"~£27M Alignment Project, £5.6M from OpenAI",verified
https://aria.org.uk/opportunity-spaces/mathematics-for-safe-ai/safeguarded-ai/funding,1,2024,gov,ok,"£59m Safeguarded AI over four years",verified
https://www.nsf.gov/funding/opportunities/safe-learning-enabled-systems/506150/nsf23-562/solicitation,1,2023,gov,ok,"$20,000,000 anticipated FY23-24",verified
https://fedscoop.com/new-tmf-investments-support-ai-safety-institute-upgrades-to-nuclear-emergency-response/,1,2024,gov,ok,"up to $10M FY2024 + $10M TMF",verified
https://openai.com/index/introducing-superalignment/,1,2023,org,ok,"20% compute over 4 years (no $ figure)",verified_statement
https://www.longtermwiki.com/wiki/E297,3,2024,wiki,ok,"CAIS $1.5M, Redwood $1.2M, MIRI $1.1M (2024)",verified_estimate
https://digital-strategy.ec.europa.eu/en/funding/eu-ai-office-launches-eu9-million-tender-technical-support-gpai-safety,1,2025,gov,ok,"total budget EUR9 million (GPAI safety tender)",verified
https://effektiv-spenden.org/en/blog/270-000-an-saferai-und-das-rand-meselsons-center/,1,2025,org,ok,"SaferAI: EUR170,227",verified
https://aapnews.aap.com.au/news/ai-on-a-budget-aussie-watchdog-trails-global-peers,1,2025,news,ok,"budget of $29.9 million over four years",verified
https://www.canada.ca/en/innovation-science-economic-development/news/2024/11/canada-launches-canadian-artificial-intelligence-safety-institute.html,1,2024,gov,ok,"initial budget of $50 million over five years",verified
https://defensescoop.com/2024/03/27/darpa-transitions-tech-gard-program-cdao/,1,2024,news,ok,"requested $10 million ... for the program in fiscal 2024",verified
https://macroscopic.org/grants,1,2024,org,ok,"plan to give up to $100m in total",verified_statement
https://forum.effectivealtruism.org/posts/Qoecey2umNjcqEGHP/apply-to-greater-than-50-ai-safety-funders-in-one,1,2023,forum,ok,"rapidly deployed roughly $500,000 ... ~$1,500,000 and ~$1,200,000",verified_statement
